timeStamp,wattsupPower,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 15:43:15 2020,66.7,1205.5149687499998,0.0017649437361199484,0.0,140.13653251741158,131.66480259192576,378,1.9,131.66480259192576,304152576,4168798,0.019265960017953943
Mon May 18 15:43:21 2020,70.2,1201.0505312499995,0.0,0.1,153.11584175871482,146.11626042117356,379,1.9,146.11626042117356,304152576,4338381,0.01413693751864951
Mon May 18 15:43:29 2020,67.3,1200.9799062500006,0.001793492600733435,0.1,169.12635209165174,162.84912799493085,379,1.9,162.84912799493085,304152576,3851861,0.019095079030813547
Mon May 18 15:43:35 2020,67.1,1204.9672812500005,0.0,0.1,167.6648633814067,168.53472000076547,379,1.9,168.53472000076547,304152576,5673982,0.017873330221685614
Mon May 18 15:43:43 2020,67.6,1237.3040625000006,0.0017952099864862387,0.1,159.4146466515115,160.3122516439187,379,1.9,160.3122516439187,304152576,4348190,0.015933305799858726
Mon May 18 15:43:49 2020,67.4,1201.11728125,0.008746371630542964,0.1,169.0236316028273,157.21602991259095,379,1.9,157.21602991259095,304152576,5000877,0.017408343629042953
Mon May 18 15:43:57 2020,66.9,1200.9564687499994,0.0017927755822017585,0.1,169.77584747639048,164.75607585090054,379,1.9,164.75607585090054,304152576,4423551,0.014372691413062253
Mon May 18 15:44:03 2020,83.2,1200.95859375,0.015349682221053531,0.2,194.06383932829792,186.60827939930115,379,1.9,186.60827939930115,304152576,4544283,0.013636845140711621
Mon May 18 15:44:11 2020,67.7,1200.9903125000005,0.001785598542328993,0.1,182.30961100200116,178.7384139206691,379,1.9,178.7384139206691,304152576,5297034,0.011856356723715432
Mon May 18 15:44:17 2020,67.8,1201.012625,0.0,0.1,206.74568508628516,213.96537567659985,379,1.9,213.96537567659985,304152576,4551311,0.011721232058763886
Mon May 18 15:44:25 2020,91.8,2130.204625,0.6777860538879709,11.5,4331.7503422461905,4019.3249501272862,383,2.2,4019.3249501272862,304214016,2491768514,0.0018165634031142442
Mon May 18 15:44:31 2020,109.9,1200.0145625,3.347606669367524,11.4,6860.183745923665,8952.218830068432,383,2.3,8952.218830068432,304214016,8736449244,0.18234777314878065
Mon May 18 15:44:39 2020,107.0,1199.986,4.520977406948291,17.1,10298.998313652097,12101.466598609712,383,2.4,12101.466598609712,304214016,8432710523,0.17488384186125958
Mon May 18 15:44:45 2020,106.0,1199.9302187500002,4.452080467936553,17.3,23716.016277523067,11978.653618304364,384,2.4,11978.653618304364,304214016,8572576226,0.18244297777561969
Mon May 18 15:44:53 2020,105.4,1199.9289375000005,4.497572530769028,17.0,9806.753283658509,12493.45636385882,384,2.4,12493.45636385882,304214016,8370030795,0.1812780543988695
Mon May 18 15:45:01 2020,105.2,1199.944875,4.521909168658794,17.2,14088.93099956552,12319.5193897426,384,2.4,12319.5193897426,304214016,8362523251,0.17749850228716238
Mon May 18 15:45:07 2020,105.1,1199.9174374999998,4.405508088777278,17.1,11628.30905525597,12264.952027452902,382,2.4,12264.952027452902,304214016,8797633117,0.18088481660246436
Mon May 18 15:45:15 2020,105.3,1199.926125,4.456819934820292,17.0,12886.550978696221,12201.683338209934,382,2.4,12201.683338209934,304214016,8786054849,0.17947429600772447
