Power,currentCPUFrequency,userTime1Sec,idleTime1Sec,systemTime1Sec,ioWaitTime1Sec,percentCPU,contextSwitches,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,networkBytesSent,networkBytesReceived,networkConnections,systemCalls,cacheMemoryUsedBytes,sharedMemoryUsedByes,swapMemoryUsedBytes,swapMemoryOutBytes,swapMemoryInBytes,ioReadBytes,ioWriteBytes
67.9,1201.04175,0.003533543,31.99269546,0.001766771,0,0.1,450.1733379,291.1639172,135.8647162,393,2.5,895651964,1.12614E+12,9,135.8647162,2877546496,35921920,0,0,0,0,0
68.4,1201.019469,0.002176797,31.99238992,0.002176797,0,0,432.094264,279.0654138,127.5603218,393,2.5,895652864,1.12614E+12,9,127.5603218,2877546496,35921920,0,0,0,0,0
67.8,1201.134781,0.001799832,31.9938201,0.003599665,0,0,437.7192308,281.4937817,130.3078631,394,2.5,895654312,1.12614E+12,9,130.3078631,2877546496,35921920,0,0,0,0,0
68.3,1201.025063,0.010753388,31.95369161,0.028675701,0,0.1,507.022231,454.3306312,382.999826,398,2.5,895659575,1.12614E+12,10,382.999826,2877546496,35921920,0,0,0,0,0
69,1204.659219,0.002188801,31.99589556,0.002188801,0,0,420.9064657,275.1323076,126.0749476,398,2.5,895660915,1.12614E+12,10,126.0749476,2877644800,35954688,0,0,0,0,0
86.6,1201.090344,0.00218671,31.99156805,0.00437342,0,0,475.1720941,306.1394071,158.5364787,398,2.5,895661815,1.12614E+12,10,158.5364787,2877644800,35954688,0,0,0,0,0
68.1,1201.420063,0.003598291,31.99240617,0.003598291,0.001799146,0,451.585533,305.8547435,175.4166911,398,2.5,895662823,1.12614E+12,10,175.4166911,2877644800,35954688,0,0,0,0,0
81.5,1206.525656,0.012575116,31.97133448,0.012575116,0,0.1,659.4750176,419.2903,276.6525544,399,2.5,895668361,1.12614E+12,10,276.6525544,2877644800,35954688,0,0,0,0,0
68.3,1211.561781,0.006582158,31.989286,0.002194053,0,0,471.7212956,305.192708,168.5032349,399,2.5,895671075,1.12614E+12,10,168.5032349,2877644800,35954688,0,0,0,0,0
69.6,1202.297406,0.030513547,31.87050194,0.062822008,0.016154231,0.4,2151.384525,1489.779039,1248.901512,401,2.2,895620405,1.12614E+12,10,1248.901512,2843852800,35860480,0,0,0,0,0
67.7,1201.094063,0.001798981,31.99308615,0.003597963,0,0,342.7059667,234.9469777,137.6220811,399,2.1,895622031,1.12614E+12,10,137.6220811,2816520192,35860480,0,0,0,0,0
