timestamp,Power,currentCPUFrequency,userTime1Sec,idleTime1Sec,percentCPU,contextSwitches,interrupts,interruptsSoftware,numberOfProcesses
Sun Dec 15 17:26:24 2019,152.6,2161.731406,18.48426356,11.80103444,62.7,19235.74363,29713.54469,44955.06257,465
Sun Dec 15 17:26:29 2019,138.3,1971.465219,17.93389051,13.16457203,58.5,17763.55771,26746.94889,29143.35522,459
Sun Dec 15 17:26:34 2019,138,1828.034781,16.64771455,15.08142363,52.7,5802.128903,35358.6258,20795.64446,460
Sun Dec 15 17:26:38 2019,121.6,1996.278875,13.7887341,17.2681798,44.9,8720.041218,20952.88602,21353.66752,459
Sun Dec 15 17:26:42 2019,138.2,1980.289219,17.1967936,13.90498205,55.7,5442.202047,33611.78196,27007.70678,458
Sun Dec 15 17:26:47 2019,137.7,1861.8045,17.59343347,13.82793242,56.7,6607.030412,28872.89815,29628.91924,458
Sun Dec 15 17:26:51 2019,137.8,1998.670063,17.52764991,13.92867806,56.4,6907.154556,28473.9751,28395.6202,458
Sun Dec 15 17:26:56 2019,137.6,2041.616469,18.4889271,12.82186051,59.9,10055.27494,32705.53198,30340.82854,458
Sun Dec 15 17:27:01 2019,138.3,1986.321438,18.5748696,13.04488682,59.1,10421.22809,32262.21319,25626.0381,458
Sun Dec 15 17:27:06 2019,139,1674.738875,17.387861,14.01706674,56.1,6706.521236,24133.78369,30002.03903,458
Sun Dec 15 17:27:11 2019,139.8,1989.882156,18.54804582,12.78946089,59.9,7934.985537,31399.35963,30386.22449,458
Sun Dec 15 17:27:16 2019,138.1,1930.433656,17.22536033,14.04613711,55.9,7790.467264,28881.5986,29134.13542,458
Sun Dec 15 17:27:20 2019,137,1999.963906,18.30165776,13.09521462,58.9,8463.20841,30084.18665,29699.36259,457
Sun Dec 15 17:27:25 2019,137.5,1548.086969,17.6154572,13.50615762,57.7,8404.588783,31039.08801,32465.17076,456
Sun Dec 15 17:27:29 2019,137.2,1974.829844,17.70994254,13.65430484,57.3,5423.745978,31283.67019,29633.42001,456
Sun Dec 15 17:27:33 2019,137.3,1845.470344,17.7839603,13.68671113,57.1,7069.763275,22659.27295,27152.37044,457
Sun Dec 15 17:27:38 2019,137.4,1977.277031,17.96693121,13.24074924,58.4,7099.649413,24555.98069,31424.8029,458
Sun Dec 15 17:27:43 2019,138.5,1931.899688,18.57381742,12.82235498,59.9,7036.83011,34178.52555,31511.67148,459
Sun Dec 15 17:27:48 2019,137,1817.868875,17.02113828,14.25836063,55.3,6878.55272,35360.81269,28521.22473,457
Sun Dec 15 17:27:53 2019,137.8,2070.904063,18.08392956,13.16849904,58.4,5999.526662,30075.93567,30585.48826,458
Sun Dec 15 17:27:58 2019,138.7,1865.044781,17.91683464,13.31574608,57.7,10205.8018,24381.07038,24236.77241,458
Sun Dec 15 17:28:02 2019,138.1,1785.565,17.27886269,14.13415349,55.7,10231.25783,34380.04443,26726.3772,460
Sun Dec 15 17:28:07 2019,139.2,2055.367125,18.97468541,12.64573325,60.4,11089.78471,35229.62534,25557.03907,459
Sun Dec 15 17:28:11 2019,138.5,2037.562969,17.65583225,13.69769311,57.2,7170.901786,32553.38193,29129.3238,461
Sun Dec 15 17:28:15 2019,137.4,1899.671938,18.53469754,12.92365501,59.5,7355.212585,28372.40088,29819.10048,461
Sun Dec 15 17:28:20 2019,136.6,1965.573281,18.29808612,12.98251756,59.4,7906.590091,26104.82575,30907.63284,460
Sun Dec 15 17:28:25 2019,136.5,2084.678906,17.63807945,13.72198721,57.1,5635.06093,30541.79919,30789.49203,462
Sun Dec 15 17:28:30 2019,138.8,1628.900625,17.13752951,14.22874951,55.4,7534.053377,21946.60803,28321.26007,462
Sun Dec 15 17:28:35 2019,133.8,1669.519688,17.80173441,13.55194714,57.6,6481.170271,29265.19788,30571.45447,462
Sun Dec 15 17:28:40 2019,139.1,1803.072938,17.08298698,14.11509697,55.3,7455.942691,28218.83921,27482.93561,463
Sun Dec 15 17:28:44 2019,138.3,1893.775813,18.41238633,12.96876662,59.5,7325.271615,28299.03196,31020.11145,463
Sun Dec 15 17:28:49 2019,137.9,2012.116531,17.92175353,13.48514552,57.8,6595.984505,30265.84827,31016.0782,463
Sun Dec 15 17:28:53 2019,137.3,1939.514063,17.33568337,13.91624842,56.5,7103.1764,35086.80984,30024.34248,464
Sun Dec 15 17:28:57 2019,137.7,1671.78275,17.86154225,13.46979873,57.8,6661.379046,23750.71451,32051.20715,464
Sun Dec 15 17:29:02 2019,138.3,1939.626,17.6923631,13.61327419,57.4,7518.520316,25034.52741,31503.71972,464
Sun Dec 15 17:29:07 2019,137.6,2002.202938,18.51572642,13.02327585,59.2,11828.83918,34486.71532,27013.26216,463
Sun Dec 15 17:29:12 2019,138,2046.206656,18.76491396,12.77290461,60,9308.462221,29539.96011,27621.969,463
Sun Dec 15 17:29:17 2019,138.7,1734.812344,17.75451317,13.67267835,57.2,6922.870158,27309.7263,30115.32701,462
