timeStamp,Power,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 15:43:15 2020,66.7,1205.514969,0.001764944,0,140.1365325,131.6648026,378,1.9,131.6648026,304152576,4168798,0.01926596
Mon May 18 15:43:21 2020,70.2,1201.050531,0,0.1,153.1158418,146.1162604,379,1.9,146.1162604,304152576,4338381,0.014136938
Mon May 18 15:43:29 2020,67.3,1200.979906,0.001793493,0.1,169.1263521,162.849128,379,1.9,162.849128,304152576,3851861,0.019095079
Mon May 18 15:43:35 2020,67.1,1204.967281,0,0.1,167.6648634,168.53472,379,1.9,168.53472,304152576,5673982,0.01787333
Mon May 18 15:43:43 2020,67.6,1237.304063,0.00179521,0.1,159.4146467,160.3122516,379,1.9,160.3122516,304152576,4348190,0.015933306
Mon May 18 15:43:49 2020,67.4,1201.117281,0.008746372,0.1,169.0236316,157.2160299,379,1.9,157.2160299,304152576,5000877,0.017408344
Mon May 18 15:43:57 2020,66.9,1200.956469,0.001792776,0.1,169.7758475,164.7560759,379,1.9,164.7560759,304152576,4423551,0.014372691
Mon May 18 15:44:03 2020,83.2,1200.958594,0.015349682,0.2,194.0638393,186.6082794,379,1.9,186.6082794,304152576,4544283,0.013636845
Mon May 18 15:44:11 2020,67.7,1200.990313,0.001785599,0.1,182.309611,178.7384139,379,1.9,178.7384139,304152576,5297034,0.011856357
Mon May 18 15:44:17 2020,67.8,1201.012625,0,0.1,206.7456851,213.9653757,379,1.9,213.9653757,304152576,4551311,0.011721232
Mon May 18 15:44:25 2020,91.8,2130.204625,0.677786054,11.5,4331.750342,4019.32495,383,2.2,4019.32495,304214016,2491768514,0.001816563
Mon May 18 15:44:31 2020,109.9,1200.014563,3.347606669,11.4,6860.183746,8952.21883,383,2.3,8952.21883,304214016,8736449244,0.182347773
Mon May 18 15:44:39 2020,107,1199.986,4.520977407,17.1,10298.99831,12101.4666,383,2.4,12101.4666,304214016,8432710523,0.174883842
Mon May 18 15:44:45 2020,106,1199.930219,4.452080468,17.3,23716.01628,11978.65362,384,2.4,11978.65362,304214016,8572576226,0.182442978
Mon May 18 15:44:53 2020,105.4,1199.928938,4.497572531,17,9806.753284,12493.45636,384,2.4,12493.45636,304214016,8370030795,0.181278054
Mon May 18 15:45:01 2020,105.2,1199.944875,4.521909169,17.2,14088.931,12319.51939,384,2.4,12319.51939,304214016,8362523251,0.177498502
Mon May 18 15:45:07 2020,105.1,1199.917437,4.405508089,17.1,11628.30906,12264.95203,382,2.4,12264.95203,304214016,8797633117,0.180884817
Mon May 18 15:45:15 2020,105.3,1199.926125,4.456819935,17,12886.55098,12201.68334,382,2.4,12201.68334,304214016,8786054849,0.179474296
Mon May 18 15:45:21 2020,105.1,1199.974031,4.418233187,17,13987.79414,11898.20146,382,2.4,11898.20146,304214016,8657820917,0.18001019
Mon May 18 15:45:29 2020,105,1199.946156,4.456243346,17,12595.56196,12081.84867,382,2.4,12081.84867,304214016,8502938279,0.178406614
Mon May 18 15:45:35 2020,105,1199.990875,4.434839613,17,13075.70808,11964.27942,382,2.4,11964.27942,304214016,8684745267,0.180680792
Mon May 18 15:45:43 2020,105.4,1199.922625,4.500318728,17.2,13055.57858,12130.81141,382,2.4,12130.81141,304214016,8631376487,0.181310556
Mon May 18 15:45:49 2020,105.4,1199.930438,4.447579067,17.1,12317.61383,12104.82769,382,2.4,12104.82769,304214016,8660035007,0.182094621
Mon May 18 15:45:57 2020,105.3,1200.002125,4.487693336,17.1,11954.54674,12116.95166,382,2.4,12116.95166,304214016,8603870422,0.177256826
Mon May 18 15:46:03 2020,105.3,1199.926094,4.457609665,16.9,11505.23293,12292.26937,382,2.4,12292.26937,304214016,8709176130,0.181914885
Mon May 18 15:46:11 2020,105.4,1200.099188,4.406378183,17,11799.8396,12136.28101,383,2.4,12136.28101,304214016,8706908914,0.17785086
Mon May 18 15:46:19 2020,105.5,1199.93175,4.5080626,17.1,12494.72132,12071.53008,383,2.4,12071.53008,304214016,8724757522,0.160399521
Mon May 18 15:46:25 2020,105.3,1199.928719,4.581624173,17.3,12071.66858,12587.96903,383,2.4,12587.96903,304214016,8496673195,0.183259716
Mon May 18 15:46:33 2020,105.3,1199.940906,4.483633122,17.1,11408.29551,12471.18242,383,2.4,12471.18242,304214016,8683815813,0.162563517
Mon May 18 15:46:39 2020,105.4,1199.967656,4.450811426,17,11266.56752,12326.01374,383,2.4,12326.01374,304214016,8684285603,0.183222019
Mon May 18 15:46:47 2020,105.4,1199.963344,4.505285357,17.2,12645.87613,12107.86458,383,2.4,12107.86458,304214016,8635088603,0.175974361
Mon May 18 15:46:53 2020,105.3,1199.947063,4.468651892,17.1,12676.65242,12181.6195,383,2.4,12181.6195,304214016,8698576867,0.161032667
Mon May 18 15:47:01 2020,105.2,1199.928938,4.507243939,17.2,18337.36613,12016.26202,383,2.4,12016.26202,304214016,8671329693,0.171211047
Mon May 18 15:47:07 2020,105.4,1199.966875,4.475291748,17.2,11432.57504,12259.3217,383,2.4,12259.3217,304214016,8747963764,0.154294072
Mon May 18 15:47:15 2020,105.5,1199.931812,4.558824347,17.2,11953.01506,12374.28486,383,2.4,12374.28486,304214016,8754654372,0.177366807
Mon May 18 15:47:21 2020,105.6,1199.963844,4.543106546,17.2,11764.68019,12187.32015,384,2.4,12187.32015,304214016,8606610146,0.167418886
Mon May 18 15:47:29 2020,105.7,1199.931937,4.57083602,17.2,11679.32982,12303.55593,384,2.4,12303.55593,304214016,8706231347,0.178115467
Mon May 18 15:47:35 2020,105.5,1199.926031,4.408144634,17,12502.13289,11912.64135,384,2.4,11912.64135,304214016,8695366507,0.178961423
Mon May 18 15:47:42 2020,105.5,1200.116813,4.388272419,16.9,13023.06249,12062.93649,384,2.4,12062.93649,304214016,8658635642,0.179726241
Mon May 18 15:47:50 2020,105.5,1199.947563,4.446575294,16.9,11285.15708,12194.91204,384,2.4,12194.91204,304214016,8452755357,0.182147821
Mon May 18 15:47:56 2020,105.7,1200.125563,4.505487374,17,11142.64299,12349.91327,384,2.4,12349.91327,304214016,8792255252,0.184737444
Mon May 18 15:48:04 2020,105.8,1199.958781,4.440611265,17,12639.50472,12268.28756,384,2.4,12268.28756,304214016,8676332443,0.16497447
Mon May 18 15:48:10 2020,105.6,1199.934188,4.450306684,17,12881.97469,11937.9966,384,2.4,11937.9966,304214016,8674729843,0.178363859
